name,title,stars,review
Lyn,Great price for these alkaline batteries.,5.0 out of 5 stars,"I don't buy any other batteries for my needs around the house but these. I don't even buy Costco's Kirkland brand because these are just as good as Duracell or Kirkland and last as long and cost sooo much less. Buy quantity 36 and store them on your bench. They will last a very long time and be ready for use whenever you need them. Don't get caught needing batteries and having to go to Walmart and pay $1 per battery, yes, that's what they cost for the same kind of battery."
SDHeeter,Very short lifespan,1.0 out of 5 stars,"We used these for under the cabinet LED lights. 4 batteries in each one... Lasted less than 2 hours. For LEDs? The AA batteries did poorly on my xbox controller also, less than 1 day.What are they good for?1) Maybe a tv remote....2) Maybe a garage door opener...3) Definitely filling a landfill quickly!"
FromFarEast,"3+ year user, no issues or complaints. Compared to Duracell and Energizer.",5.0 out of 5 stars,"Been using AmazoBasic batteries for toys, flashlights, remotes for at least 3 years now. I never had any issues with them. For the value, I can't quite say anything negative about this. AmazonBasic batteries seem to last just as long as Energizer Industrial or Duracell. That said, I have found AmazonBasic batteries to often be much cheaper, which makes it such a great product. I see myself continuing to purchase AmazonBasic batteries for as long as they keep making quality batteries."
Tina C,Work great,5.0 out of 5 stars,"I tried the EBL batteries and other batteries because they are cheaper, but they do not last as long as these do. I had these and the EBL in two different snow globes that ran on a timer. The timer was the same on both. These batteries are still going strong while the EBL have stopped working. After this happened I ordered more of these because they are still cheaper then a lot of the big brands, but work better."
SAS,I never knew I could have this much energy,5.0 out of 5 stars,"If someone had told me how this product could change my life, I would not have believed them. Before this miracle of the modern age arrived on my doorstop, I and my electronic products were dull, lifeless - LITERALLY couldn't even move. But now!! Apply the product following the instructions and BUZZ WHIRRRR CLAP CLAP CLAP I just can't stop! Even when things start to slow down a little BAM fresh application from my box full of energy and I'm on the go again. Get some for yourself! You won't be sorry!"
AngWms,Kudos!!  Insulin Pump Running Strong!!!,5.0 out of 5 stars,"I decided to give these a try due to the massive number of AAA batteries I use each month. I am a Type 1 Diabetic on the insulin pump 24/7. The most expensive batteries on the market last a maximum of 4 days. I inserted the Amazon battery in my pump on March 4, 2019. It is still going strong and I have full power 10 days later!!!! I truly stand amazed. I have NEVER had a battery touch this. I only wish I had these batteries 17 years ago.Kudos Amazon for passing the pump test. None ever have. I will be a customer for life!"
Steppin' Time,Great Batteries for the Money!,5.0 out of 5 stars,"Had to update all the remote and flashlights, they really did last a very long time. The ones on the Remote were dated 2017 and now they've all been marked 01/2021. The Flashlights, it all depends on how often you've had to use the Flashlight, they hold up their charge for a pretty long time, I replaced all 4 of them because the batteries were getting weak. All of them were installed in 2019!"
A. McK.,Just Fine,5.0 out of 5 stars,"I haven't had mine for very long, so they haven't started leaking or anything weird. Rather hoping they don't start doing that. Honestly, they seem fine, and we get this brand at work all the time. They live a good long shelf life as far as we can tell. Calculators do seem to eat through them pretty fast, but those darn things destroy any and all batteries. Overall, these are perfectly fine."
T. Day,A very good battery at a very good price.,4.0 out of 5 stars,"Have you seen what Duracell and Energizer batteries cost in retail stores? What a ripoff. I think most of what you're paying for is the cost of advertising and retail displays.I've used Amazon alkaline batteries around the house for years. And we also use them in test equipment where I work. In my experience, they last just as long as the major brands for a lot less money."
A.J.L,"Value, Value, Value (And Convenience Factor)",5.0 out of 5 stars,"I have been ordering Amazon Basics batteries for quite some time now and I am sticking to them because of the value. The smaller name brand packs at the store cost much more per battery so I like to buy in bulk. I have seen the battery tests on YouTube and read that there are others that perform better, however, I really don't notice much of a difference and I really enjoy the convenience factor!"
D John,Great Buy - BUT,4.0 out of 5 stars,"It's Christmas and I have 11 window candles that require 3 batteries each, and those need to be replaced once before they come down. Hence this purchase. It's a great deal on a per-battery basis, BUT they are shrink wrapped in groups of 5, and are fiendishly difficult to get out of the wrap. It took me longer to free up the batteries than it did to install them and place the candles."
Capt Pierce,Excellent batteries at a great price!,5.0 out of 5 stars,"I switched to the Amazon brand batteries years ago because I was sick and tired of paying crazy prices for name brand, alkaline batteries. The Amazon brand batteries work just as well and last just as long as the popular name brands but are less expensive. Why anyone would continue to buy the popular name brands and pay more when they can get a high quality, long lasting battery Amazon is beyond me. I highly recommend the Amazon brand alkaline batteries in AAA, AA, C and D cell sizes. Excellent quality!"
Jack Erwin,Good Value ! Great Packaging !,5.0 out of 5 stars,"There is no noticeable difference between the AmazonBasics AAA Cell battery and the big brand name product.I like the packaging much better. They come in a box with several batteries wrapped in plastic. The others insist on using blister packs. It is hard to open them, then they all roll out. This may be good for advertising in store displays but not so much when you get them home. I like the box."
Sehyun Kim,"Came with batteries loose and missing batteries, but it seems Amazon will replace one set for free",4.0 out of 5 stars,"I've used these batteries before and I think they're fine, I don't really pay attention to the performance that much. I'm sure they're pretty standard.The only reason I'm docking a star is because I ordered this and my first set somehow got slightly opened, and almost half of the batteries were out of their plastic wrap and just sitting in the package outside of the box.Thankfully, when I tried to submit a return/replacement, they sent over a replacement free of charge, without any need to return my original set of batteries.The replacement set of batteries came today and they were all in the box; however, one set of 4 batteries was missing, so there were only 32 batteries in there.So all I have to say is, be weary of missing or loose batteries when you order this. But at least you have some assurance that they will replace it hassle-free if you do have an issue."
Marco,Poor longevity in LED flashlights,2.0 out of 5 stars,"The batteries first appear to have a good price. When initially installed, it seems like you are getting the quality of a name-brand battery at a significant discount. But used in bright LED flashlights, these have well under half the use time as the more expensive name brands. I estimate that useful battery life-per-dollar-spent is roughly the same as a name brand. So why use a name brand instead if the true cost is about the same? It is a pain to have to install bateries in devices 2 or 3 times as often; even if the cost is the same, my time has value as well. I recommend buying any of the name brand batteries in bulk on Amazon or at a big-box store. I do not recommend these."
A. Parks,Excellent Price,5.0 out of 5 stars,"I'll admit that I am usually a name-brand kind of guy when it comes to retail products. I know, the psychology of marketing has gotten me; I'm a lost cause. But AAA batteries really aren't very high stakes, and I like the simplistic design/visuals of most Amazon Basics products, so I gave these a go.So far, everything works great. I've only used 1 of the batteries in my 8-pack thus far. If I notice a particularly large dip in performance or longevity I will update with a new review. But for now, they're exactly what I expect."
Amazon Shopper,These batteries DO NOT last very long,1.0 out of 5 stars,"The battery life of these basics is awful!!! Literally last maybe a little longer than half of the Duracell batteries I usually buy. Even if these basics are cheaper, how can you justify with half the battery life?!?!? It would have to be less than half the cost of better batteries to justify. And even then, you’re just being incredibly wasteful!Just buy a better brand and avoid these!"
BIG D N LV,Leaked and ruined my meter,1.0 out of 5 stars,"I purchased a 100 pack of these AAA batteries on 4-28-17. I previously used AC Delco batteries exclusively, good life, good price, and never leaked. I have a nice meter I use to test capacitors with. I needed it last week and was getting crazy readings so thought maybe a battery change was in order. removed battery cover and 1 of the 3 batteries had a serious leak and it migrated to the circut board and I think my meter is toast, a loss of about $60. I have around 20 amazon batteries left that I will just put in my box of batteries that get recycled. I will not be using these ever again. I have read a lot of reviews and leaking seems to be a common problem. Amazon needs to raise the quality standards for their battery suppliers of get new ones."
Robert Thomas,Weak inferior 1.5 batteries,1.0 out of 5 stars,"If your going to sell batteries they should be fully charged. Everyone else manages. I installed two in my fire stick remote on Friday night, come Sat morn the remote wouldn't work. The batteries were at half strength. The fire stick remotes are a poor product anyway they eat up batteries like crazy but I've never had them eat one up overnight so I took the package that holds maybe 10 or 15 without removing it I scratched away the plastic on the negative and positive and put the ohm meter and sure enough they weren't 1.5 they were barely one and maybe 1.1 or 2 this is a state of failing of a battery already. Go out and buy any standard battery out there and it'll be 1.5 plus I'm close to 1.6 and in a strong state. Let's put it this way my remote for the TV has had the same two 1.5 batteries in it for 8 months. The fire stick remote I'm changing them every 3 months so what I'm saying to Amazon you got lousy batteries you got lousy remotes too."
Mariner,Horrible batteries.,1.0 out of 5 stars,These are horrible batteries for tv remote control. I bought 2 sets of these and I have to swap out batteries about ok once a week cause they die quickly. Will not buy again.
Janet Haskell,Life-Changing! My Go-To Battery Supply,5.0 out of 5 stars,"I am in my 50’s and FINALLY learned to keep a decent supply of batteries on hand. All those years of scrambling for batteries, rushing out to buy more, being frustrated when I realize I need batteries but the stores at closed and being mortified by the high cost of a little 4 pack - finally those days are over!I feel like a real adult now. Life-changing!!Seriously, do yourself a favor and be prepared with a decent stockpile of batteries at a respectable price.Cons: Everyone in my family now knows I always have batteries so they no longer bother to buy their own. Instead, they just dig into my stash. Uggg! I may or may not be contributing to enabling my grown children’s personal growth.I need to start hiding these little gems :)"
Connie P,Decent batteries at a good price,5.0 out of 5 stars,"I normally buy Duracell or Energizer batteries because they work well and they last. The one time I tried some dollar store (size D) batteries and, brand new, they didn’t even have enough power in them to properly run my child’s (Elefun) game! This is the first time I have purchased an off-brand since. These Amazon batteries seem to work well. Even if they don’t last as long as my usual battery brands, since they are significantly cheaper, I should still be saving money in the long run. If I have problems with the batteries long-term, I will update this review accordingly."
Nadia Orand,CHEAPLY MADE & FALLING APART & NO QUALITY CONTROL,1.0 out of 5 stars,"I received the AAA Amazon batteries and when I went to use the batteries, I found a few batteries that were falling apart like shown in the picture, where the insides of the battery were exposed. Because I found the batteries that were falling apart after the one month ""return"" policy for AMAZON, there was nothing I could do. Below average quality, pay a little more knowing that the batteries you are going to receive are actually working batteries."
Lee Duncan,Power in a small package!,5.0 out of 5 stars,"AmazonBasics AAA 1.5 Volt Performance Alkaline Batteries - Pack of 36 pack many hours of long lasting performance in such a small size. All your AAA devices will love these as there batteries given the constant stable power output of these 1.5 volt alkaline batteries. Don't waist your money on name brand batteries or off brand ones either. AmazonBasics AAA Alkaline Batteries out preform and last those for much less in cost. So, add some to your cart now."
Jin Oh,"AmazonBasics batteries are the best value, hands down",5.0 out of 5 stars,"We have about a million battery-powered toys and gadgets around the house. I spent a few years investing in Eneloop rechargeables (which are great), but you have to make sure they're all discharging the same plus you lose some and end up constantly buying more. Duracells are 8 bucks for a pack of 4 AAs here, 6 bucks per D cell, 10 bucks per 9V, which is ridiculous. Kirkland batteries are cheap but leak, and have destroyed so many electronics over the years. ""Heavy duty"" cells are as useless as they are cheap. I now have subscriptions for AmazonBasics AAA, AA, C, D, and 9V and life is so much simpler. I never bothered to test them despite packaging or production changes over the years, but so far they work well and don't leak. That's all I want. I don't care whether or not they discharge faster than Duracells because Duracells sure aren't worth 10 times more than these."
brownize54,You need to replace them every 2 days. Terrible product.,1.0 out of 5 stars,These batteries are terrible. I put 3 of them in a timer candle that turns on for 6 hours and then turns off. They lasted two days. I replaced them and the same thing happened again. So I’ve gone through 6 batteries in 4 days. They’re a waste of money.
Kia,Little battery big punch,5.0 out of 5 stars,We were in some need for some aaa's for our flashlights so we could see the raccoons coming up on us lol and this 36 pack is a lifesaver! Not only do we have enough batteries to last a few months but they last for quite some time. I've only had to change the batteries once so far and I purchased them a little over a month ago so they seem to do all right for themselves
teddtlove,Do not buy this is from the Amazon Shopping Queen,1.0 out of 5 stars,These batteries are horrible. We used them almost exclusively in our Fire remotes. We have three. We were changing batteries like every two weeks in each remote or something like that. Some of the batteries were duds right out of the pack. I would have sent the back but we didn’t open the right away so the 30 past before we knew it. I love amazon but do not but these
Tracie Hotchner,AVOID these batteries they leak!,1.0 out of 5 stars,"I have gotten many AAMzon basics products that are terrific quality and value- but DO NOT buy Amazon's batteries. i store them in individual plastic bags in a dry cool container yet find they leak and leave crystals even after only a few months kept in ideal conditions. I have never ever experienced that with everready, duracell or any other brand. really bad factory defect I guess?"
RobB,"Dead in the box, in less than two years",1.0 out of 5 stars,"I bought a box of 36 these AAA batteries in December 2018. I've got about half remaining, and they're now totally dead. And the ones I've installed in devices have died also. Energizers last 5 years, so buying the cheaper Amazon brand was a very poor choice."
delump,Price to performance - Unbeatable!,5.0 out of 5 stars,"Are these the longest life battery out there? No, but they are much better than the cheap ones and aren't much worse than batteries lasting 10% longer. Twice the price for 10% more life - do the math!Bottom line, the price to hours of use just can't be beat! I only buy these."
Jessica Dougherty,Great life-span on these batteries,5.0 out of 5 stars,"We seem to go through batteries SO fast with all the toys and electronics that my kids and husband have. I feel like I was always running out and buying more batteries and they seemed SO expensive. We decided to try out the AamazonBasics batteries because they are cheaper than purchasing in the store...and because they are delivered to my front door and I don't have to remember to grab them at the grocery store or make a special trip out to get batteries. So far we've been really impressed with these batteries. I was afraid that they would be like the super cheap ones you can get at the dollar store and not really have much life to them and have to replace them even more frequently. We've been using them in several well-loved (read used all the dang time!) toys as well as some electronic devices and we haven't had any issues with them not having a good life span to them. We will definitely purchase these again when our supply gets low - thanks for an affordable, easy option to the seemingly never-ending need for batteries!"
Lyle B.,Tests show these are the best buy for the money.,5.0 out of 5 stars,"I recently reviewed a test on YouTube were they tested most of the major brands of batteries. This was not a test completed by a testing company, but rather an intelligent fellow that tested a number of products. When comparing the Amazon batteries side by side with well known batteries, the Amazon batteries were the best batteries for the money. This was not a testing laboratory but his methods appeared to be sound and real world."
Sarah,Dangerously bad product,1.0 out of 5 stars,"These were not good. I did easily get a refund, but wish they would've just worked. Some batteries had battery acid on them which got on me opening them, so had to throw those away immediately. Then another got so hot when I used it that I couldn't even remove it from the product it was in. These are actually dangerously bad."
V. Anderson,"Battery life is right for the price, warning and postive",4.0 out of 5 stars,"High output, not really. Not sure who makes them. They last better than Energizer Industrial batteries but not as well as regular Energizer batteries.So far no problems with leaks, but battery life is right for the price."
Al Glover,the most important thing to know is they work,5.0 out of 5 stars,"As a photographer, guitar player and computer nerd (I'm at that awkward stage between geek and geezer), I have far too many devices that need triple a (AAA) batteries. Beyond these being reasonably priced and working, what else is there to say? hmmmmm . . . ok, I like that one end is differently colored than the other and that the + and - symbols are large enough to read . . . the soft pastel grey is good for the eyes when changing batteries in bright sunlight . . . so far, they fit every device I have that takes AAA batteries . . ."
Ben,Waste of money.,1.0 out of 5 stars,"Don't buy these!! I purchased a pack of 36 AAA batteries because I have 5 battery run candles of various sizes that I like to have on sometimes. And I mean just 'some times'. Each take 3 batteries. I didn't start using them right away but I realized that almost the next time I turned on a candle the batteries would be dead without them hardly being used, just sitting in the candle. So I started to make a note, on the candle, of the date that I replaced with new batteries....to actually see how long they would last. I don't usually send in reviews but this time I have to say....don't waste your money on these batteries! At Christmas, I turned on the candle thats in the picture. Dead. According to the date I'd put on the bottom, I'd put in new batteries(straight from the sealed package) on 11/13/19. The other 3 dead batteries taped together I kept from another candle were dated 'installed 9/11/19 dead on 11/11/19'. The others are dead from previous candles. And these candles were hardly used. Before I realized how useless these batteries are, I had ordered another package of AA size......which are now just sitting in a box. What's the point of installing them in something when they have no life! Yes, the price is tempting.....but not worth it!"
Double D,Did not last like energizers,4.0 out of 5 stars,"I ordered these Sept 28, 2020 and I would definitely not buy again, unless I just happened to get a bad batch. I always test the batteries for full capacity before replacing old ones, and these were sub par... plus they do not last as long as energizer.They would probably be ok for an led light application but not for something that demands a heavy drain."
Samuel,DON’T FORGET THE BATTERIES,5.0 out of 5 stars,"These are good batteries. Probably as good if not slightly better. Definitely good considering the price of batteries these days. The batteries come in nice sturdy boxes and wrapped in packs of four, perfect count for most items. I never purchase an item on Amazon without adding batteries, it is very nice to have the option during purchases. Happy Amazoning"
Syde,You get what you paid for..,2.0 out of 5 stars,"I bought these for a pair of kid’s walkie talkies which required three AAA batteries. My 10 year old knows well to turn the walkies off when unused but after one day of, the batteries are dead. You will go through this pack of batteries quickly because they don’t hold their charge long enough. I’m glad I tried them but I won’t be reordering these tbh."
Beatriz,Long life and great packaging.,5.0 out of 5 stars,"Excellent value for your money, considering the longevity, and the amount of batteries you get. With other brands, I would have to replace the batteries on my roku remote every couple months, and with these, its already been a couple months and they are still going strong.I also appreciate the neat packaging they come in. It makes it easy for storing them and accessing them later."
Christopher B.,Slim profile makes for easier storage,5.0 out of 5 stars,So first things first I really like how these batteries were shipped to me. Instead of grouping all of the batteries into a cube they stacked them in a single file. What I mean by that is that the batteries were stacked like a CD and was slim which allowed me store the batteries in my DVD console area. These batteries are supposed to have a long shelf life time will tell if they have less than expected battery capacity later on I will make an update to this review. So far haven't had any issues with them.
HumanIcicle,"Best value, long lasting batteries",5.0 out of 5 stars,"I've been buying the AmazonBasics batteries of all sizes for awhile now and I'm very pleased with the performance of these batteries. I've used them for just about anything you can use batteries with and they last just as long as the big brands at half of the cost.They work great in my Xbox controllers, TV remotes, grill igniter, toys, smoke alarms, everything and the best thing is that they come in packaging that isn't a hassle to open. Simple cardboard packaging, no plastic shell to cut through and easy to store."
Linda,AA’s packaging came apart completely in Shipping,5.0 out of 5 stars,"Batteries were shipped in small box. When I opened the box, the packaging had come apart & the batteries had been rolling all over inside the box, which was much bigger than the batteries package. I don’t know how it will affect the batteries in the long run. I have had a much better experience before with batteries when they were covered with small bubble pack, taped, & then put inside the box - no problem then."
lscs102,Just right,5.0 out of 5 stars,"I don't like to buy batteries in large quantities because I've had so many 'explode' before I could use them. Eight was just the right amount, and these were the only ones I found in packages of that amount. My flashlight burns very brightly again! I have not had them long enough to judge how long they last, but I have confidence that they will do a good job!"
allthekngshorses,Don't waste your money!,1.0 out of 5 stars,"Wish I had done this before the return policy expired. We are replacing batteries in our remote EVERY WEEK, if not sooner. My husband gets a few uses in his infra-red measuring tape before (which he uses many times each day) and gets about 30-40 photos on his small digital camera before he needs to put new ones in!These really are the worst batteries we have ever used! Gonna stick with brand names-NOT AMAZON-from now on!"
GUTS!!,DO NOT BUY AMAZON BRANDED BATTERIES. I REPEAT. DO. NOT. BUY.,1.0 out of 5 stars,"I'm telling you. I don't care if ""they"" have 47,000 5 star reviews. Don't buy them! they stink. stank. stunk!The worst. We've had AAA, AA, and C. half the time they don't work. I've had a few leak acid (stored properly) and it's always a gamble. you truly do get what you pay for in this case. stay as far away from the bezos brand batteries as you can. pay a few extra for the brand name. you'll thank me later."
Garrett H.,Great product for the price! I'm impressed.,5.0 out of 5 stars,"The battery life isn't as long as one would hope but they certainly do the trick for a few weeks. I purchased these because the prices at the store are ridiculous, so I decided to give these a try. I wouldn't compare them to the high end batteries because the price alone will give you a decent indication as to how long they will last. I would buy again when needed. I could see these as being great for kids toys as they aren't used as long as a remote might be."
hybroanglid,"Good batteries, great price!",5.0 out of 5 stars,"These batteries seem to run just as long and as hard as the name brand batteries, but they cost quite a bit less. I love being able to buy so many at once so that I know I have them when I need them (like throughout the holidays). They were packed well, too. I don't think I'll waste my money on other batteries again."
Amazon Customer,Not worth it!,1.0 out of 5 stars,"I bought these Amazon AAA batteries to use in a variety of Xmas decorations which I'd put up a week before Tgiving. Initially, these Amazon batteries were working well and lasting a decent amount of time (about a week for each decoration) but I've had to replace them all in every dec THREE TIMES in the past two weeks. That is ridiculous. I ordered some Amazon D size batteries a couple of days ago; doubt they'll do much better. Have energizer and Rayovac batteries in other decorations and have only replaced them all ONE TIME since the week I b4 Tgiving when I put everything up! Energizer and Rayovac are the best batteries, PERIOD. Amazon, get your damn game on with your battery products!!"
Scott J. Fletcher,JUNK - These batteries are garbage,1.0 out of 5 stars,Do not buy these batteries. I have purchased AA and AAA and they are all weak and do not last. They do not power anything. They are dead right out of the package. DO NOT waste your money. These should be zero stars.
JD Lewis,Reasonably good battery but some inconsistency,4.0 out of 5 stars,"These are definitely good value for the money, however I have noticed issues: 1. I have had one battery in the lot ""dead"" and a couple have not lasted as long as I was expecting compared to the other brand names. Hence it loses a star at least. Otherwise most seem to be very good and because they are so much cheaper and I use them for candles, I'll likely order again."
Christine Aust,Caution: do not work on all items,1.0 out of 5 stars,These do not work in some items. We bought this to put in all of our Christmas animated toys and they would not work in any of them. We went out and bought some typical energizer batteries and they all worked just fine. At first we thought everything was broken but it turned out the connection on these batteries just is not as good or there’s something about the style that does not work in some things. They did work in our remote and our clock but again did not work and many other items. I would be hesitant to buy Especially since you cannot return them. We are out a good chunk of money since we bought such a big pack which is really disappointing.
Ngrab,Only come with a 1/4 charged left in them brand new,1.0 out of 5 stars,"I have had theses batteries for almost 3 weeks and had to change out my simple Roku remote twice now, the remote has no tv controls or voice options that would drain it. These batteries last about a week an half in a bottom line Roku remote. The Rayovac ones I was replacing with Amazon's AAA batteries last almost a year in the remote or more. My Mom bought these same batteries for a thermometer and each and every battery brand new put into the thermometer only shown to have a 1/4 charge of life left in it on the battery meter in thermometer. Changed them out to dollar store batteries and the life left in them was fully charged. So FYI Amazon brand Batteries come with only a 1/4 charge of bettery life in them. That's data from 144AAA Amazon batteries"
KinTrinity,Amazon batteries blew in a Amazon fire remote (2nd gen) destroying it.,1.0 out of 5 stars,I ordered the Amazon batteries to use in an Amazon fire remote (2nd gen) and in less than 24 hours the remote did not work. I pull the case to see if batteries are installed ok and battery dust is all over the remote and cover. Tried a different brand of battery in it and remote is gone. So now I have to buy a $29 remote because I used $0.61 worth on the manufacturers batteries. bought 36 for $10.99. They are all getting disposed of properly.
Danny,"Used or ""empty""",1.0 out of 5 stars,"They came loose in the box. I used office tape to tape them but only realized they were drained already. I used them and only after a while I came to question the quality when PC mouse was dead after only a week. I tried them all on my coffee electric frother and none will start the mini mixer. Maybe I got a returned item, HOWEVER WILL STAY AWAY. I wanted to return them when I saw they are loose in the box, but the price didn't worth the effort at that time. Next time I will return any open / unsealed item."
Loud Mic “Mike”,Not worth the cheap price,1.0 out of 5 stars,"I received these batteries on July 22, 2019. Today is September 4, 2019. I know I didn’t install these batteries in my wall clock the day i got them, but for the sake of argument let’s say I did. Yesterday when i got home from work, the battery in the clock was dead. That is 21 days, or 3 weeks. This battery replaced one that had been in the same clock for well over a year."
Sarah Ellis,You get what you pay for,3.0 out of 5 stars,"Got sick of constantly running out of AAA batteries for my remote and fire stick so came here to buy in bulk. Was excited to find a large pack at this price. In the end it doesn't do much to save you money as these batteries die much faster than the name brand ones. They might be ok for something you don't use often, but for heavily used items I would spend the money on the name brand batteries, or prepare to be changing batteries ALOT"
Christine,Battery Disappointment,2.0 out of 5 stars,I am very disappointed in these batteries.I normally buy batteries made in China because I have so many flameless candles throughout my house because they are cheaper.But this time I decided to try Amazon AAA and AA and have to say that I will not purchase this brand again because the cheaper Chinese batteries last longer.
Rainer S.,Bad battery’s don’t work for me.,1.0 out of 5 stars,"I put them in a Dish remote, and in 5 days they were dead. I feel ripped off from Amazon. And I’m a good customer."
Kyle B.,Good batteries,5.0 out of 5 stars,"I usually buy the name brand batteries over the generics because they seem to last longer, but I decided to give AmazonBasics a shot. I was pretty impressed with how long these batteries last. My Roku remote eats batteries like a fat kid eats cake, and these last just as long or longer than the name brand (Duracell or Energizer)."
Freebird,Fantastic for the price,5.0 out of 5 stars,"Ever since Amazon started selling batteries, I have given up on the copper top and bunny brand. They last almost as long as the other brands, however for the price, you could essentially buy 3 packs for Amazon Basics for the price of 1 pack of brand name batteries. Very pleased with them and will continue to order them. Highly recommended!"
Madhuri,Horrible batteries,1.0 out of 5 stars,"I purchased 20 pack in June. Used first 3 for my newborn's toy. It stopped working in 10 days. I replaced batteries nd it worked for a couple of hours. Next 3 couldn't make it work. I assumed the toy was bad. Ordered a replacement and even that wouldn't work. I didnt consider that batteries could be bad, how could I? They were purchased 3 months ago and were stored properly. And how often do you see new batteries don't work? I see that never. At least with Duracell I never saw that. Finally it struck me. I replaced those batteries with my TV remote AAA batteries (of Duracell brand) and the toy started working. I called customer service and they refunded me for it but such hassle and bad experience!!!! I am amazed why would Amazon let their name get such a hit for batteries!!"
SeanM,Last A Long Time,5.0 out of 5 stars,"I have a set of 7 LED candles at at 3 batteries per candle this was a great deal, these batteries last longer than other name brand batteries that cost much more and they cost much less. Don't buy batteries just because of the name buy the one that work and don't break the bank, these are the only batteries I'll buy from now on."
Kara,Works just as well as Energizer and Duracell!,5.0 out of 5 stars,"So inexpensive for the quatity of batteries in the package! Before testing out the quality of the batteries, that price point made me already perfectly happy even if these turned out to be below average in performance. But what a wonderful surprise! They perform just as well as both Energizer and Duracell! Customer for life 100%"
Yusef farrell,Great price for durable batteries,5.0 out of 5 stars,I was really hesitant about purchasing these after seeing the reviews about exploding batteries or them only lasting for a couple days. I did not experience this at all! These are going to last me awhile. I’ve used them on my fire stick remote and I’m still using the original first two pairs from the box who it 1-2 months later. This is a STEAL can’t beat the price.
Nic,Great batteries and a great price!,5.0 out of 5 stars,"My kids are battery hogs and it seems like everything they use requires triple A's, which of course I never seem to have enough of when I need them. This pack of 20 AAA batteries is a fantastic deal for the price. Compared to Kirkland and other major brands, these seem to be pretty comparable as far as battery life goes. These are powering my remote controls, wireless mouse and keyboard, multiple flashlights and electric toothbrushes. I have had no issues with any of these dying fast as of yet. I also really appreciated the box these came in. Makes storage very easy... no more searching around my junk drawer looking for loose batteries! I also bought these on a sale and with subscribe and save.... the price couldn't be beat! I plan to update this review if anything changes. So far though, I am extremely satisfied with the performance of these batteries."
Don,Batteries,4.0 out of 5 stars,They are cheaper and they work. I don't know if they work as long as higher priced batteries - didn't test that. Lots of batteries go toward my wife's lighted/musical gadgets at different holidays and these are best for that. In a year when she pulls them out again the batteries are dead whether cheap or higher priced batteries.
Fern,Performed well.,5.0 out of 5 stars,These batteries lasted 2 months exactly(4/9/0-6/9/20) in my fire stick remote. I used Harbor Freight and they lasted from 6/9/20 to 7/24/20. Keep in mind that I paid $4 for 24 Harbor Freight and $7 for 20 Amazon. Sometimes you can get Harbor Freight for free with a cupon. Overall Im happy with my purchase. I hope these helps. I will try Duracell next and see.
J. Grosse,customer support!,1.0 out of 5 stars,After over a month of ownership of this product. I have found some batteries that just don't work. Finally I tested them all and 8 out of the whole box don't even work. I tried to find some support or and store owner to email and discuss this but after the return window is gone it seems all other support is gone too. Very dissappointed. Used to be able to find some support through Amazon but now it seems it's so buried I can't find it.
Take care of the earth it's our home 🏡,Good jobGreat value for the money not like it so far,5.0 out of 5 stars,Nothing I didn’t like that came packed well very well as impressed they didn’t go to my horse barn it’s a miracle I bet it to many different things I’ve shipped out they seem to work fine no leakage so far I hope the price doesn’t go up again otherwise I go back to wholesalers thank you Prime guarantee thank you sellerGood job
Lily,Don't last as long and leak,1.0 out of 5 stars,"I bought these because usually Amazon products are better than cheaper brands, however these stink. They sat in a toy barely used, died, and leaked in it. The cheap manufacturer batteries the toy came with lasted 2 years, and didn't leak at all. I would liken these to dollar store brands. I will not buy again. Very disappointed."
PawPawRon,Seem To Be Lasting As Long As Duracell In Our Portable Radio,5.0 out of 5 stars,"We have not had the batteries that long to give a long term review but they do seem to be providing good and long service for a portable radio we are currently using them in. Overall, I believe they are a great value and will most likely continue purchasing the AmazonBasics brand for the other size batteries we use in our electronics."
adam dolin,I’ve always wondered really how much difference there is.,1.0 out of 5 stars,"I’ve always wondered how much nonsense goes into pricing AAA and AA batteries, and if there is really that much of a noticeable difference in length of use. After going through two huge packs of both with my small family of 3, in less than a week. I now know the answer. I won’t lie, we use our batteries. But one Duracell lasts infinitely longer than this whole package did."
"Floyd ""Al"" DeShazo",Amazon basic AAA Alkaline batteries,5.0 out of 5 stars,When in ordered there batteries I was not sure what to expect. I must say I was pleasantly surprised. I tested each and everyone one for voltage which was 1.61V and made in Indonesia. The last batteries I purchased were Energizer's Industrial grade which also carried the same 1.61 volts. The expiration date on these Amazon basics AAA's is 2027 so I expect them to have a good shelf life I believe these batteries will perform every bit as well as the energizers I last purchased. I took advantage of the snail mail delivery I received a $5 Amazon credit which made this deal even better. From the reviews I've read I would highly recommend purchasing these batteries over any name brand for General use purposes as I'm not sure how they would stand up too I drain situations. But I will get back to you on that one with my next purchase.
Mark Muchow,They are cheap!,3.0 out of 5 stars,"I have had to replace the batteries in my outdoor temperature about every 3 months, used to last a year with Duracell batteries. Will not buy again! You get what you pay for!"
TxDee779361,Junk,1.0 out of 5 stars,"I went thru approx 24 in less than a month on my BP monitor. Thought monitor defaulty. Nope. Tried on a couple other gadgets. Remotes, motion sensor lights, etc. Failed within days!"
