School Name,Physical Address,Postal Address,Email,Phone,SchoolMgt Name,Designation,Mobile,Email_2
Milikapiti School,"N/A, Milikapiti (Snake Bay), NT","PMB 96, via Winnellie, 0822, NT",chris.armstrong@education.nt.gov.au,(08) 8978 3960,Armstrong,Principal,(08) 8978 3960,chris.armsstrong@education.nt.gov.au
Middle Point School,"615 Anzac Pde, Middle Point, NT","PO Box 96, Humpty Doo, 0836, NT",middle.pt@education.nt.gov.au,(08) 8988 1688,Cartwright,Administration Manager,(08) 899 93548,donna.cartwright2@education.nt.gov.au
Mbunghara School,"N/A, Mbunghara, NT","PMB 242, via Alice Springs, 0872, NT",mbunghara.school@education.nt.gov.au,(08) 8956 8503,Ball,Administration Manager,(08) 895 11661,michelle.ball@education.nt.gov.au
Mataranka School,"Roper Terrace, Mataranka, 0852, NT","PO Box 4022, Mataranka, 0852, NT",telka.zotz@education.nt.gov.au,(08) 8975 4543,Hutchinson,Administration Manager,(08) 897 25319,richelle.hutchinson@education.nt.gov.au
Marrara Christian School,"110 Amy Johnson Ave, Marrara, NT","PO Box 84, Karama, 0812, NT",admin.mcc@ntschools.net,(08) 8920 2000,Van Bentum,Principal,8920 2000,joel.vanbentum@ntschools.net
Mapuru Yirralka College,"Dhabulu Rd, Mapuru, NT 0822, NT","PMB 301, Winnellie, 0821, NT",linda.miller@ntschools.net,(08) 8970 4996,Miller,Principal,8970 4996,linda.miller@ntschools.net
Manyallaluk School,"N/A, Manyallaluk (Eva Valley), NT","PO Box 271, Katherine, 0851, Nt",admin.manyasch@education.nt.gov.au,(08) 8975 4438,Kelly,Administration Manager,(08) 897 25359,Stevie.kelly@education.nt.gov.au
Manunda Terrace Primary School,"31 Manunda Tce, Karama, 0812, NT","31 Manunda Tce, KARAMA, 0812, NT",manunda.school@education.nt.gov.au,(08) 899 77366,Hirschausen,Principal,(08) 899 77366,lisa.hirschausen@education.nt.gov.au
Maningrida School,"N/A, Maningrida, 0822, NT","PMB 67, via WINNELLIE, 0822, NT",maningrida.cec@education.nt.gov.au,(08) 8979 5950,Hayward,Principal,(08) 8979 5950,petrina.hayward@education.nt.gov.au
Mamaruni School,"N/A, Minjilang (Croker Is), NT","PMB 47, via Winnellie, 0822, NT",adam.dicks1@education.nt.gov.au,(08) 8979 0255,Dicks,Principal,(08) 8979 0255,adam.dicks1@education.nt.gov.au
Malak Primary School,"45 Malak Cres, Malak, 0812, NT","45 Malak Crescent, MALAK, 0812, NT",admin.malak@education.nt.gov.au,(08) 899 77600,Evans,Principal,(08) 899 77600,lorraine.evans@education.nt.gov.au
Mackillop Catholic College,"285 Farrar Boulevard, Johnston, NT","P O Box 2608, Palmerston, 0831, NT",mackillopcollege@nt.catholic.edu.au,08 8930 5757,Moloney,Principal,89305757,Peter.moloney@nt.catholic.edu.au
MacFarlane Primary School,"42 Grevillea Rd, Katherine East, 0850, NT","42 Grevillea Road, KATHERINE EAST, 0850, NT",admin.macfasch@education.nt.gov.au,(08) 896 51700,Alexander,Administration Manager,(08) 896 51700,lisa.alexander@education.nt.gov.au
Ludmilla Primary School,"41 Bagot Rd, Ludmilla, 0820, NT","PO Box 39945, WINNELLIE, 0821, NT",admin.ludmilla@education.nt.gov.au,(08) 898 37888,Admin,Administration Manager,(08) 898 37888,admin.ludmilla@education.nt.gov.au
Ltyentye Apurte CEC,"N/A, Santa Teresa (Ltyenty Apurte), NT","Santa Teresa, PMB 221, via A/Springs, 0871, NT",admin.lace@nt.catholic.edu.au,(08) 8956 0937,Colley,Principal,89560937,justin.colley@nt.catholic.edu.au
Leanyer Primary School,"114 Leanyer Drive,, Leanyer, 0812, NT","114 Leanyer Drive, LEANYER, 0812, NT",admin.leanyer@education.nt.gov.au,(08) 8927 4022,Crockford,Principal,(08) 8927 4022,leah.crockford@education.nt.gov.au
Living Waters Lutheran School,"Cnr Albrecht Dr & Kramer St, Alice Springs, NT","PO Box 8869, Alice Springs, 0871, NT",living.waters@ntschools.net,(08) 8950 0700,Stoll,Principal,08 89500700,living.waters@ntschools.net
Laynhapuy Homelands School,"Galpu Rd, Yirrkala, NT","PMB 747, Nhulunbuy, 0881, NT",yhs.admin@ntschools.net,(08) 898 71224,Dentith,Principal,(08) 898 71224,haidee.dentith@education.nt.gov.au
Larrakeyah Primary School,"3 Packard St, Larrakeyah, 0820, NT","PO Box 412, DARWIN, 0801, NT",larrakeyah.admin@education.nt.gov.au,(08) 8981 3211,Gerlach,Administration Manager,(08) 8981 3211,rose.gerlach@education.nt.gov.au
Larapinta Primary School,"22 Albrecht Dr, Alice Springs, NT","PO Box 9021, ALICE SPRINGS, 0871, NT",larapinta.primary@education.nt.gov.au,(08) 895 85155,Foley,Administration Manager,(08) 895 85155,Jodie.foley@education.nt.gov.au
Laramba School,"N/A, Laramba (Napperby), NT","PMB 213, via Alice Springs, 0872, NT",laramba.school@education.nt.gov.au,(08) 8956 8771,Cowham,Administration Manager,(08) 895 11659,Lufen.Cowham@education.nt.gov.au
Lajamanu School,"N/A, Lajamanu ( Hooker Ck), NT","PMB 63, via Katherine, 0851, NT",admin.lajamcec@education.nt.gov.au,(08) 8975 0946,Omar,Principal,(08) 8975 0946,kim.omar@education.nt.gov.au
Kintore Street School,"11 Kintore St, Katherine, 0872, NT","PO Box 1931, KATHERINE, 0851, NT",kintore.admin@education.nt.gov.au,(08) 8973 3888,Chamberlain,Principal,(08) 8973 3888,marg.chamberlain@education.nt.gov.au
Kiana School,"N/A, Kiana, NT","PMB 33, via Tennanat Creek, 0861, NT",gordon.halling@education.nt.gov.au,(08) 8975 9820,Fisher,Administration Manager,(08) 897 25358,jodie.fisher@education.nt.gov.au
Katherine South Primary School,"Riverbank Dr, Katherine, 0850, NT","PO Box 721, KATHERINE, 0851, NT",karen.taylor@education.nt.gov.au,(08) 8972 1277,Paul,Administration Manager,(08) 8972 1277,jacqui.paull@education.nt.gov.au
Katherine School Of The Air,"101 Giles St, Katherine, 0850, NT","PO Box 531, KATHERINE, 0851, NT",kath.soa@education.nt.gov.au,(08) 8972 1833,Bryant,Curriculum Leader,(08) 8972 1833,donna.bryant@education.nt.gov.au
Katherine High School,"Grevillea Rd, Katherine East, 0850, NT","PO Box 189, KATHERINE, 0851, NT",admin.kathehs@education.nt.gov.au,(08) 897 38200,MacFarlane,Administration Manager,08) 897 38200,admin.kathehs@education.nt.gov.au
Karama Primary School,"37 Livistona Rd, Karama, 0812, NT","PO Box 103, Karama, 0813, NT",karama.school@education.nt.gov.au,(08) 898 37700,Albion,Principal,(08) 898 37700,maria.albion@education.nt.gov.au
Kalkaringi School,"Whitlam st, Kalkaringi (Wave hill), NT","PMB 41, KATHERINE, 0852, NT",kalkaringi.admin@education.nt.gov.au,(08) 896 51888,Kelly,Administration Manager,(08) 897 25359,stevie.kelly@education.nt.gov.au
Jingili Primary School,"17 Rindberg St, Jingili, 0810, NT","PO Box 40600, CASUARINA, 0810, NT",jingili.school@education.nt.gov.au,(08) 898 37555,Rust,Principal,(08) 898 37555,jemma.rust@education.nt.gov.au
Jilkminggan School,"N/A, Jilkminggan (Duck Creek), NT","PO Box 4054, Mataranka, 0852, NT",admin.jilkmsch@education.nt.gov.au,(08) 8975 4896,Hutchinson,Administration Manager,(08) 897 25319,richelle.hutchinson@education.nt.gov.au
Jabiru Area School,"40 Waterhouse Rd, Jabiru, NT","PO Box  246, Jabiru, 0886, NT",jabiru.areaschool@education.nt.gov.au,(08) 8938 3333,Dunne,Principal,(08) 8938 3333,learne.dunne@education.nt.gov.au
Imanpa School,"N/A, Imanpa, NT","PMB 76, via Alice Springs, 0872, NT",kandi.thorpe@education.nt.gov.au,(08) 8956 7483,Churches,Administration Manager,(08) 895 11656,rowan.churches@education.nt.gov.au
Sadadeen Primary School,"80 Spearwood Rd, Alice Springs, 0870, NT","PO Box 2707, ALICE SPRINGS, 0871, NT",sadadeen.primary@education.nt.gov.au,(08) 895 52299,Purdie,Administration Manager,(08) 895 52299,melanie.purdie@education.nt.gov.au
Humpty Doo Primary School,"50 Freds Pass Rd, Humpty Doo, 0836, NT","PO Box 46, HUMPTY DOO, 0836, NT",admin.humptydoo@education.nt.gov.au,(08) 8988 1255,Fisher,Principal,(08) 8988 1255,susanne.fisher@education.nt.gov.au
Howard Springs Primary School,"295 Whitewood Rd, Howard Springs, 0835, NT","PO Box  171, HOWARD SPRINGS, 0835, NT",howard.springs@education.nt.gov.au,(08) 898 30000,Abrook,Administration Manager,(08) 8983 0003,sue.abrook@education.nt.gov.au
Holy Spirit Catholic School,"Gsell Street, Casuarina, NT","PO Box 40030, Casuarina, 0810, NT",yola.gray@nt.catholic.edu.au,(08) 8927 3411,Sellars,Principal,08 89273411,paula.sellars@nt.catholic.edu.au
Harts Range School,"N/A, Atitjere (Harts Range), NT","PMB 162, via Alice Springs, 0871, NT",harts.school@education.nt.gov.au,(08) 8956 9771,McKay,Principal,(08) 8956 9771,kylie.mckay@education.nt.gov.au
Henbury School,"11 Henbury Avenue, Tiwi, 0810, NT","11 Henbury Avenue, Tiwi, 0810, NT",henbury.admin@education.nt.gov.au,(08) 899 77077,Corry,Principal,(08) 899 77077,sarah.corry@education.nt.gov.au
Holy Family Catholic School,"Calytrix Road, Karama, NT","PO Box 40870, Casuarina, 0812, NT",admin.holyfamily@nt.catholic.edu.au,(08) 89276188,Donohue,Principal,08 89276188,shane.donohue@nt.catholic.edu.au
Haileybury Rendall School,"6057 Berrimah Road, Berrimah, NT","PO Box 241, Berrimah, 0828, NT",hrs.admin@hrs.edu.au,(08) 8922 1611,Glass,Principal,(08) 8922 1611,Craig.Glass@hrs.edu.au
Haasts Bluff School,"N/A, Haasts Bluff (Ikuntji), 0872, NT","Haasts Bluff, via Alice Springs, 0872, NT",geoff.gillman@education.nt.gov.au,(08) 8956 8550,Cowham,Administration Manager,(08) 895 11659,lufen.cowham@education.nt.gov.au
Gunbalanya School,"N/A, Gunbalanya, NT","PMB 66, Gunbalanya, 0822, NT",admin.gunbacec@education.nt.gov.au,(08) 8979 0181,Djayhgurrnga,Principal,(08) 8979 0181,esther.djayhgurrnga@education.nt.gov.au
Good Shepherd Lutheran School,"Cnr Emery Ave and Temple Tce, Palmerston, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,(08) 8983 0300,Boyce,Principal,08 89830300,rachel.boyce@goodshepherd.nt.edu.au
Gray Primary School,"22 Victoria Drive, Gray, 0830, NT","Victoria Drive, GRAY, 0830, NT",admin.graysch@education.nt.gov.au,(08) 8932 1700,Griffiths,Administration Manager,(08) 8932 1700,anne.griffiths1@education.nt.gov.au
Good Shepherd Lutheran College,"Cnr Whitewood Rd and Kundook Place, Howard Springs, NT","PO Box 1146, Howard Springs, 0831, NT",admin@goodshepherd.nt.edu.au,08 89830300,Boyce,Principal,8983 0300,rachel.boyce@goodshepherd.nt.edu.au
Gillen Primary School,"55 Milner Rd, Alice Springs, 0870, NT","PO Box 769, ALICE SPRINGS, 0871, NT",gillen.school@education.nt.gov.au,(08) 895 52155,Gloede,Administration Manager,(08) 895 52155,chris.gloede@education.nt.gov.au
Girraween Primary School,"25 Carruth Rd, Girraween, 0835, NT","PO Box 1042, HOWARD SPRINGS, 0835, NT",admin.girrasch@education.nt.gov.au,(08) 8983 3300,McKenzie,Principal,(08) 8983 3300,megan.mckenzie@education.nt.gov.au
Gawa Christian School,"Community ID 508, Gawa, NT","PMB 257, Elcho Island via Winnellie, 0822, NT",admin.gcs@ntschools.net,8970 5212,Herweynen,Principal,8970 5212,rachel.herweynen@ntschools.net
Gapuwiyak School,"N/a, Gapuwiyak, NT","PMB 900, Via Winnellie, 0822, NT",admin.gapuwcec@education.nt.gov.au,(08) 8987 9122,Davis,Business Manager,(08) 894 49283,kylie.davis@education.nt.gov.au
Forrest Parade School,"120 Flynn Circuit, Bellamack, 0832, NT","120 Flynn Circuit, Bellamack, 0832, NT",admin.forrestps@education.nt.gov.au,(08) 899 77111,Brooks-Jones,Assistant Principal Primary,(08) 899 77111,faye.brooksjones@education.nt.gov.au
Finke School,"N/A, Finke, NT","PMB 30, via Alice Springs, 0871, NT",finke.school@education.nt.gov.au,(08) 8956 0960,Cowham,Administration Manager,(08) 895 11659,lufen.cowham@education.nt.gov.au
Essington School,"22 Chapman Rd, Rapid Creek, NT","PO Box 42321, Casuarina, 0811, NT",administration@essington.nt.edu.au,(08) 8985 0100,Kennelly,Principal,8985 0100,Brian.Kennelly@essington.nt.edu.au
Family as First Teachers,"Mitchell St, Darwin, 0800, NT","GPO Box 4821, Darwin, 0801, NT",faft.doe@education.nt.gov.au,(08) 899 93550,Director,Principal,(08) 899 93549,earlychild.det@education.nt.gov.au
Epenarra School,"N/A, Wutunugurra (Epenarra), NT","PMB 270, via Alice Springs, 0861, NT",jennifer.cadzow@education.nt.gov.au,(08) 8964 1512,Cadzow,Principal,(08) 8964 1512,jennifer.cadzow@education.nt.gov.au
Elliott School,"91 Bray St, Elliott, NT","C/- Elliott Post Office, Elliott, 0862, NT",kevin.gaskin@education.nt.gov.au,(08) 8969 2050,Gaskin,Principal,(08) 8969 2050,kevin.gaskin@education.nt.gov.au
Durack Primary School,"50 Woodlake Bvd, Durack, 0830, NT","PO Box  225, PALMERSTON, 0830, NT",durack.school@education.nt.gov.au,(08) 899 77555,Kerr,Administration Manager,(08) 899 77555,cathy.kerr@education.nt.gov.au
Dundee Beach School,"500 Namarada Dr, Dundee Beach, NT","PO Box 145, Dundee Beach, 0840, NT",dundee.school@education.nt.gov.au,(08) 8978 2212,Dundee,Administration Manager,(08) 8978 2212,finance.dundee@education.nt.gov.au
Driver Primary School,"37 Driver Ave, Driver, 0830, NT","PO Box  33, PALMERSTON, 0831, NT",admin.drivesch@education.nt.gov.au,(08) 893 59000,Hall,Principal,(08) 893 59000,danielle.hall@education.nt.gov.au
Dripstone Middle School,"10 Delamere St, Tiwi, 0810, NT","PO Box  41370, CASUARINA, 0811, NT",dripstone.middle@education.nt.gov.au,(08) 898 37777,Laouris,Administration Manager,(08) 898 37777,katerina.laouris@education.nt.gov.au
Douglas Daly School,"Jungawa Rd, Douglas-Daly, NT","PMB 46, via Winnellie, 0822, NT",janelle.thorne@education.nt.gov.au,(08) 8978 2836,Ther,Administration Manager,(08) 894 49404,kaitlyn.ther1@education.nt.gov.au
Darwin Languages Centre,"1 Nemarluk Dr, Ludmilla, NT, NT","P O Box 822, Nightcliff, 0814, NT",dlc.nt@education.nt.gov.au,(08) 899 77000,Northcote,Principal,(08) 899 77000,kevin.northcote@education.nt.gov.au
Darwin Middle School,"Atkins Drive, The Gardens, NT 0820, not available, NT","PO Box 2257, PARAP, 0804, NT",admin.darwinmiddle@education.nt.gov.au,(08) 894 25200,Dixon,Principal,(08) 894 25201,marcusj.dixon@education.nt.gov.au
Clyde Fenton Primary School,"101 Giles St, Katherine, 0850, NT","PO Box 421, KATHERINE, 0851, NT",admin.clydesch@education.nt.gov.au,(08) 897 33844,Lye,Administration Manager,(08) 897 33844,diane.lye@education.nt.gov.au
Darwin High School,"10 Atkins Dr, The Gardens, 0820, NT","Bullocky Point, DARWIN, 0820, NT",darwin.high@education.nt.gov.au,(08) 899 91222,Hazeldine,Principal,(08) 899 91222,jill.hazeldine1@education.nt.gov.au
Centralian Middle School,"56 Milner Rd, Alice Springs, 0870, NT","PO Box 1771, ALICE SPRINGS, 0871, NT",centralian.middle@education.nt.gov.au,(08) 895 52333,O'Bree,Principal,(08) 895 52333,cassie.obree@education.nt.gov.au
Bonya School,"Community ID 26, Orrtipa-Thurra (Bonya), NT","PMB 69, via Alice Springs, 0872, NT",mark.webster@education.nt.gov.au,(08) 8956 6352,Schmull,Administration Manager,(08) 895 11641,gary.schmull@education.nt.gov.au
Berry Springs Primary School,"1150 Cox Peninsula Rd, Berry Springs, 0838, NT","PO Box 135, Berry Springs, 0838, NT",berrysprings.primary@education.nt.gov.au,(08) 8988 6006,Alp,Administration Manager,(08) 8988 6495,wendy.alp@education.nt.gov.au
Centralian Senior College,"10 Grevillea Drive, Alice Springs, 0870, NT","PO Box 4856, ALICE SPRINGS, 0871, NT",admin.centraliansc@education.nt.gov.au,(08) 895 85000,Annesley,Business Manager,(08) 895 85005,laura.annesley1@education.nt.gov.au
Belyuen School,"N/A, Belyuen, NT","PMB 2, GPO Darwin, 0801, NT",elspeth.hurse@education.nt.gov.au,(08) 8978 5085,Hurse,Principal,(08) 8978 5085,elspeth.hurse@education.nt.gov.au
Bees Creek Primary School,"20 Sattler Cres, Freds Pass, NT","PO Box 2271, PALMERSTON, 0831, NT",bees.creek@education.nt.gov.au,(08) 8983 3222,Jordan,Principal,(08) 8983 3222,wendy.jordan@education.nt.gov.au
Batchelor Area School,"71 Kirra Cres, Batchelor, 0845, NT","c/-, Batchelor Post Office, 0845, NT",batchelor.as@education.nt.gov.au,(08) 8976 0077,Bilston,Administration Manager,(08) 8976 0077,carolyn.bilston@education.nt.gov.au
Barunga School,"N/A, Barunga  (Bamyili), NT","PMB 117, via Katherine, 0851, NT",office.barunga@education.nt.gov.au,(08) 8975 4502,Anastacio,Administration Manager,(08) 8972 5351,jianynne.anastacio1@education.nt.gov.au
Baniyala Garrangali School,"Yilpara Community, Yirrkala, 0880, NT","PO Box 1496, NHULUNBUY, 0881, NT",cameron.adams@education.nt.gov.au,(08) 8987 9114,Adams,Principal,(08) 8987 9114,cameron.adams@education.nt.gov.au
Bakewell Primary School,"1 Forrest Parade, Bakewell, 0832, NT","PO Box 1300, PALMERSTON, 0831, NT",admin.bakewell@education.nt.gov.au,(08) 899 77400,Carter,Assistant Principal 1,(08) 899 77400,erin.carter@education.nt.gov.au
Arlparra School,", Arlparra Community, Utopia, NT","PMB 18, via ALICE SPRINGS, 0872, NT",stephen.nimmo@education.nt.gov.au,(08) 8956 9178,Nimmo,Principal,(08) 8956 9178,stephen.nimmo@education.nt.gov.au
Araluen Christian School,"10 Blain St, Alice Springs, NT","10 Blain Street, Alice Springs, 0870, NT",admin.acc@ntschools.net,(08) 8955 3300,Lindsey,Principal,89550121,rosie.lindsey@ntschools.net
Areyonga School,"wsw of Hermannsburg, 224km from Alice Springs, Areyonga, NT","Areyonga, via Alice Springs, 0872, NT",areyonga.school@education.nt.gov.au,(08) 8956 7303,Churches,Administration Manager,(08) 895 11656,rowan.churches@education.nt.gov.au
Angurugu School,"N/A, Angurugu, NT","PO Box 40, Alyangula, Groote Eylandt, 0885, NT",admin.angurcec@education.nt.gov.au,(08) 8987 6355,Hughes,Principal,(08) 8987 6355,bryan.hughes@education.nt.gov.au
Ampilatwatja School,"N/A, Ampilatwatja (Ammaroo), NT",", PMB 84, Alice Springs, 0872, NT",katrina.georgiou@education.nt.gov.au,(08) 8956 9265,Cortez,Administration Manager,(08) 895 11637,gesheila.cortez@education.nt.gov.au
Anula Primary School,"73 Yanyula Dr, Anula, 0812, NT","Yanyula Drive, ANULA, 0812, NT",anula.admin@education.nt.gov.au,(08) 899 77500,Kealy,Principal,(08) 899 77500,melinda.kealy@education.nt.gov.au
Amoonguna School,"N/A, Amoonguna, NT","PO Box  2529,, Alice Springs, 0871, NT",cherie.gibbens@education.nt.gov.au,(08) 8952 3402,Foley,Administration Manager,(08) 895 11637,jodie.foley@education.nt.gov.au
Amanbidji School,"N/A, Amanbidgi (Kildirk), NT","PMB 16, via Katherine, 0851, NT",Carolyn.tucker@education.nt.gov.au,(08) 9168 7380,Angel,Administration Manager,(08) 8972 5347,kelly.angel1@education.nt.gov.au
Alyarrmandumanja Umbakumba School,"N/A, Umbakumba, NT","PO Box 698, Alyangula, 0885, NT",admin.umbakumba@education.nt.gov.au,(08) 8987 6793,Cartwright,Administration Manager,(08) 899 93548,donna.cartwright2@education.nt.gov.au
Alyangula Area School,"Cnr Flinders St & Ayawarra Cr, Alyangula, NT","PMB 3, Alyangula, Groote Eylandt, 0885, NT",alyangula.admin@education.nt.gov.au,(08) 8987 6366,DeBeer,Principal,(08) 8987 6366,theo.debeer@education.nt.gov.au
Alpurrurulam School,"N/A, Alpurrurulam (Lake Nash), NT","PMB 46, Mt Isa, 4825, QLD",daven.scott@education.nt.gov.au,(07) 4748 4887,Scott,Principal,(07) 4748 4887,daven.scott@education.nt.gov.au
Alice Springs Steiner School,"Lot 9523 Ragonesi Rd, Alice Springs, 0870, NT","PO Box 2736, Alice Springs, 0871, NT",accounts@alicesteiner.nt.edu.au,(08) 8953 4578,Hawkins,Business Manager,(08) 8953 4578,businessmanager@alicesteiner.nt.edu.au
